frame_id,t_cam,t_pp,t_det_s,t_det_e,t_dec,t_aud,ran_infer
981,1425.14,1425.14,1425.14,1425.32,1425.32,1425.32,1
986,1425.32,1425.35,1425.35,1425.53,1425.53,1425.53,1
993,1425.53,1425.54,1425.54,1425.81,1425.81,1425.81,1
1000,1425.81,1425.82,1425.82,1426,1426,1426,1
1007,1426,1426.01,1426.01,1426.18,1426.18,1426.18,1
1012,1426.18,1426.19,1426.19,1426.4,1426.4,1426.4,1
1018,1426.4,1426.41,1426.41,1426.62,1426.62,1426.62,1
1025,1426.62,1426.62,1426.62,1426.8,1426.8,1426.8,1
1031,1426.8,1426.81,1426.81,1426.97,1426.97,1426.97,1
1036,1426.97,1426.98,1426.98,1427.14,1427.14,1427.14,1
1041,1427.14,1427.14,1427.14,1427.3,1427.3,1427.3,1
1046,1427.3,1427.31,1427.31,1427.48,1427.48,0,1
1050,1427.48,1427.49,1427.49,1427.69,1427.69,1427.69,1
1058,1427.69,1427.7,1427.7,1428.03,1428.03,1428.03,1
1068,1428.03,1428.05,1428.05,1428.21,1428.22,0,1
1073,1428.22,1428.22,1428.22,1428.4,1428.4,1428.4,1
1079,1428.4,1428.41,1428.41,1428.64,1428.64,0,1
1086,1428.64,1428.65,1428.65,1428.82,1428.82,1428.82,1
1091,1428.82,1428.83,1428.83,1429.02,1429.02,1429.02,1
1097,1429.02,1429.02,1429.02,1429.19,1429.19,1429.19,1
1102,1429.19,1429.2,1429.2,1429.35,1429.35,0,1
1107,1429.35,1429.37,1429.37,1429.54,1429.54,0,1
1113,1429.54,1429.55,1429.55,1429.81,1429.81,1429.81,1
1121,1429.81,1429.82,1429.82,1430.06,1430.06,1430.06,1
1127,1430.06,1430.08,1430.08,1430.2,1430.2,1430.2,1
1130,1430.2,1430.21,1430.21,1430.39,1430.39,1430.39,1
1138,1430.39,1430.4,1430.4,1430.59,1430.59,1430.59,1
1144,1430.59,1430.6,1430.6,1430.8,1430.8,1430.8,1
1150,1430.8,1430.82,1430.82,1431,1431,1431,1
1157,1431,1431.02,1431.02,1431.16,1431.16,1431.16,1
1161,1431.16,1431.17,1431.17,1431.34,1431.35,1431.35,1
1166,1431.35,1431.35,1431.35,1431.51,1431.51,0,1
1171,1431.51,1431.51,1431.51,1431.69,1431.69,1431.69,1
1177,1431.69,1431.7,1431.7,1432.03,1432.03,1432.03,1
1184,1432.03,1432.04,1432.04,1432.27,1432.27,1432.27,1
1190,1432.27,1432.28,1432.28,1432.42,1432.42,1432.42,1
1194,1432.42,1432.42,1432.42,1432.6,1432.6,1432.6,1
1200,1432.6,1432.61,1432.61,1432.77,1432.77,0,1
1204,1432.77,1432.78,1432.78,1432.99,1432.99,1432.99,1
1210,1432.99,1432.99,1432.99,1433.21,1433.21,1433.21,1
1218,1433.21,1433.22,1433.22,1433.39,1433.39,1433.39,1
1224,1433.39,1433.4,1433.4,1433.57,1433.57,1433.57,1
1229,1433.57,1433.57,1433.57,1433.71,1433.71,1433.71,1
1233,1433.72,1433.72,1433.72,1433.99,1433.99,1433.99,1
1242,1434,1434,1434,1434.3,1434.3,0,1
1251,1434.3,1434.31,1434.31,1434.51,1434.51,0,1
1257,1434.51,1434.52,1434.52,1434.69,1434.69,1434.69,1
1262,1434.69,1434.7,1434.7,1434.89,1434.89,0,1
1269,1434.89,1434.9,1434.9,1435.05,1435.05,1435.05,1
1273,1435.05,1435.05,1435.05,1435.3,1435.3,1435.3,1
1281,1435.3,1435.31,1435.31,1435.47,1435.47,1435.47,1
1286,1435.47,1435.48,1435.48,1435.63,1435.63,1435.63,1
1291,1435.63,1435.64,1435.64,1435.81,1435.81,1435.81,1
1295,1435.81,1435.82,1435.82,1435.97,1435.98,1435.97,1
1300,1435.98,1435.98,1435.98,1436.15,1436.15,0,1
1303,1436.15,1436.17,1436.17,1436.42,1436.42,0,1
1308,1436.42,1436.43,1436.43,1436.62,1436.62,1436.62,1
1316,1436.62,1436.62,1436.62,1436.78,1436.78,1436.78,1
1322,1436.78,1436.79,1436.79,1436.97,1436.97,0,1
1328,1436.97,1436.98,1436.98,1437.15,1437.15,0,1
1333,1437.15,1437.16,1437.16,1437.32,1437.32,0,1
1338,1437.32,1437.33,1437.33,1437.56,1437.56,0,1
1345,1437.56,1437.57,1437.57,1437.75,1437.75,0,1
1351,1437.75,1437.76,1437.76,1437.93,1437.93,0,1
1357,1437.93,1437.94,1437.94,1438.14,1438.14,0,1
1363,1438.14,1438.15,1438.15,1438.31,1438.31,0,1
1368,1438.31,1438.32,1438.32,1438.49,1438.49,0,1
1373,1438.49,1438.49,1438.49,1438.68,1438.68,0,1
1377,1438.68,1438.69,1438.69,1438.89,1438.89,0,1
1385,1438.89,1438.9,1438.9,1439.06,1439.06,0,1
1391,1439.06,1439.07,1439.07,1439.23,1439.23,0,1
1396,1439.23,1439.24,1439.24,1439.39,1439.39,0,1
1400,1439.39,1439.4,1439.4,1439.56,1439.56,0,1
1405,1439.56,1439.57,1439.57,1439.79,1439.79,0,1
1412,1439.79,1439.8,1439.8,1439.99,1439.99,0,1
1418,1439.99,1439.99,1439.99,1440.18,1440.18,0,1
